Sno,Brand,Category,Product_type,Product_Name,Product_code,Price
0,Vedant Fashions Ltd.,Men,Kurta Pajama,Rust Orange Printed Kurta Set,  SOSK630-332,"3,499"
1,Vedant Fashions Ltd.,Men,Kurta Pajama,Flamingo Pink Chikankari Embroidered Kurta Set,  SDES820-325,"4,999"
2,Vedant Fashions Ltd.,Men,Kurta Pajama,Teal Blue Chikankari Patterned Kurta Set,  SDES820-326,"4,999"
3,Vedant Fashions Ltd.,Men,Kurta Pajama,Lime Green Chikankari Kurta Set,  SDES784-334,"3,999"
4,Vedant Fashions Ltd.,Men,Kurta Pajama,Quartz Pink Mandala Printed Kurta Set,  CPOSK666-325,"4,999"
5,Vedant Fashions Ltd.,Men,Kurta Pajama,Ivory White Traditional South Indian Kurta Pancha Set,  SOSK579-340,"16,999"
6,Vedant Fashions Ltd.,Men,Kurta Pajama,Ruby Pink Harlequin Printed Kurta Set,  SOSK695-325,"4,999"
7,Vedant Fashions Ltd.,Men,Kurta Pajama,Powder Blue Chikankari Embroidered Kurta Set,  SDES626-341,"4,999"
8,Vedant Fashions Ltd.,Men,Kurta Pajama,Candlelight Yellow Floral Patterned Sequined Chikankari Kurta Set,  SDES626-328,"4,999"
9,Vedant Fashions Ltd.,Men,Kurta Pajama,Feroze Blue Chikankari Kurta Set,  CPOSK612-326,"3,999"
10,Vedant Fashions Ltd.,Men,Kurta Pajama,Maroon Chikankari Kurta Set,  CPOSK612-307,"3,999"
11,Vedant Fashions Ltd.,Men,Kurta Pajama,Black Solid Minimalist Kurta Pajama,  SDES634-310,"3,999"
12,Vedant Fashions Ltd.,Men,Kurta Pajama,Maroon Georgette Kurta Set,  CPOSK452-307,"5,999"
13,Vedant Fashions Ltd.,Men,Kurta Pajama,Light Pink and Cream Floral Embroidered Kurta Set,  SDES806-301,"5,999"
14,Vedant Fashions Ltd.,Men,Kurta Pajama,Feroze Kurta Pajama With Golden Motif,  SDES515-326,"3,999"
15,Vedant Fashions Ltd.,Men,Kurta Pajama,Navy Blue Diamond Chikankari Patterned Kurta Set,  SDES784-306,"3,999"
16,Vedant Fashions Ltd.,Men,Kurta Pajama,Turkish Green Diamond Patterned Kurta Set,  SDES869-333,"3,999"
17,Vedant Fashions Ltd.,Men,Kurta Pajama,Carnation Pink Self Design Kurta Pajama,  CPOSK462-342,"2,999"
18,Vedant Fashions Ltd.,Men,Kurta Pajama,Tropical Blue Floral Chikankari Embroidered Kurta Set,  CPOSK452-341,"5,999"
19,Vedant Fashions Ltd.,Men,Kurta Pajama,Light Pink Sequins Kurta Pajama,  CPOSK563-319,"4,999"
20,Vedant Fashions Ltd.,Men,Kurta Pajama,Bright Cream Floral Chikankari Embroidered Kurta Set,  CPOSK665-302,"5,999"
21,Vedant Fashions Ltd.,Men,Kurta Pajama,Pristine White Kurta Set with Embroidered Placket and Neckline,  SDES857-301,"2,999"
22,Vedant Fashions Ltd.,Men,Kurta Pajama,Black Patterned Kurta Set,  SDES632-310,"3,999"
23,Vedant Fashions Ltd.,Men,Kurta Pajama,Tropical Pink Botanical Printed Kurta Set,  SOSK636-342,"3,499"
24,Vedant Fashions Ltd.,Men,Kurta Pajama,Forest Green Buti Printed Kurta Set,  CPOSK607-316,"4,999"
25,Vedant Fashions Ltd.,Men,Kurta Pajama,Teal Red Plain Kurta Set with Embroidered Collar,  SDES856-329,"2,999"
26,Vedant Fashions Ltd.,Men,Kurta Pajama,Pista Green and Beige Diamond Patterned Kurta Set,  CPOSK698-311,"4,999"
27,Vedant Fashions Ltd.,Men,Kurta Pajama,Melon Orange Floral Printed Kurta Set,  SDES903-328,"2,999"
28,Vedant Fashions Ltd.,Men,Kurta Pajama,Stone Grey Botanical Printed Kurta Set,  SOSK634-308,"3,499"
29,Vedant Fashions Ltd.,Men,Kurta Pajama,Off White Celebration Wear Self Design Kurta Pajama,  SDES651-302,"5,999"
30,Vedant Fashions Ltd.,Men,Kurta Pajama,Royal Maroon Printed Kurta Set,  CPOSK607-307,"4,999"
31,Vedant Fashions Ltd.,Men,Kurta Pajama,Grey Kurta Pajama With Golden Motif,  SDES515-308,"3,999"
32,Vedant Fashions Ltd.,Men,Kurta Pajama,Aspen Gold Yellow Chikankari Kurta Set,  SDES784-328,"3,999"
33,Vedant Fashions Ltd.,Men,Kurta Pajama,Rosewater Pink Vertical Striped Kurta Set,  SDES860-373,"3,499"
34,Vedant Fashions Ltd.,Men,Kurta Pajama,Primrose Yellow Chikankari Embroidered Kurta Set,  SDES632-324,"3,999"
35,Vedant Fashions Ltd.,Men,Kurta Pajama,Aquamarine Blue Watercolor Effect Printed Kurta Set,  CPOSK710-341,"4,999"
36,Vedant Fashions Ltd.,Men,Kurta Pajama,Berry Wine Patterned Kurta Set,  SDES505A-322,"4,999"
37,Vedant Fashions Ltd.,Men,Kurta Pajama,Blissful Blue and Copper Floral Medallion Patterned Kurta Set,  SDES823-326/373,"3,999"
38,Vedant Fashions Ltd.,Men,Kurta Pajama,Subtle Green Plain Kurta Set,  SDES854-334,"2,999"
39,Vedant Fashions Ltd.,Men,Kurta Pajama,Marble Blue Tree Of Life Print Kurta Set,  CPOSK697-326,"4,999"
40,Vedant Fashions Ltd.,Men,Kurta Pajama,Turquoise Blue Diamond Patterned Chikankari Embroidered Kurta Set,  SDES626-326,"4,999"
41,Vedant Fashions Ltd.,Men,Kurta Pajama,Sky Blue Festive Kurta Pajama,  SDES673-341,"4,999"
42,Vedant Fashions Ltd.,Men,Kurta Pajama,Pearl River Grey Floral Patterned Kurta Set,  SDES673-312,"4,999"
43,Vedant Fashions Ltd.,Men,Kurta Pajama,Dark Brown Printed Kurta,  SOSK629-309,"3,499"
44,Vedant Fashions Ltd.,Men,Kurta Pajama,White Booti Self Motif Kurta Pajama,  SDES761-340,"4,999"
45,Vedant Fashions Ltd.,Men,Kurta Pajama,Maroon Printed Kurta Set,  SDES728-307,"2,999"
46,Vedant Fashions Ltd.,Men,Kurta Pajama,Sea Green Jacquard Kurta Pajama,  SDES677-333,"3,499"
47,Vedant Fashions Ltd.,Men,Kurta Pajama,Amber Yellow Kurta Set with Floral Embroidered Neckline,  SDES877-328,"2,999"
48,Vedant Fashions Ltd.,Men,Kurta Pajama,Coral Pink Jaal Patterned Kurta Set,  SDES871-373,"3,499"
49,Vedant Fashions Ltd.,Men,Kurta Pajama,Sunrise Orange Floral Spot Patterned Kurta Set,  SDES765-328,"4,999"
50,Vedant Fashions Ltd.,Men,Kurta Pajama,Bottle Green Printed Kurta Pajama,  SOSK674-316,"3,499"
51,Vedant Fashions Ltd.,Men,Kurta Pajama,Navy Blue Ogee Patterned Kurta Set,  SDES629-306,"3,499"
52,Vedant Fashions Ltd.,Men,Kurta Pajama,Light Pink Floral Patterned Kurta Set,  SDES807-325,"6,999"
53,Vedant Fashions Ltd.,Men,Kurta Pajama,Light Pink Striped Kurta Set,  SDES872-373,"3,499"
54,Vedant Fashions Ltd.,Men,Kurta Pajama,Sunrise Yellow Kurta Set with Embroidered Placket,  SDES831-328,"3,999"
55,Vedant Fashions Ltd.,Men,Kurta Pajama,Sunrise Orange Floral Spot Patterned Kurta Set,  SDES438-328,"3,999"
56,Vedant Fashions Ltd.,Men,Kurta Pajama,Blue Plain Kurta Set,  SDES615-306,"3,499"
57,Vedant Fashions Ltd.,Men,Kurta Pajama,Indigo Blue Booti Work Kurta Pajama,  CPOSK563-339,"4,999"
58,Vedant Fashions Ltd.,Men,Kurta Pajama,Aquamarine Blue Sequined Kurta Set,  CPOSK654-333,"4,999"
59,Vedant Fashions Ltd.,Men,Kurta Pajama,Crayola Yellow Polka Dotted Kurta Set,  SDES837-324,"4,999"
60,Vedant Fashions Ltd.,Men,Kurta Pajama,Summer Green Embellished Kurta Set,  SDES436-334,"3,999"
61,Vedant Fashions Ltd.,Men,Kurta Pajama,Merlot Red Jacquard Kurta Set,  SDES093-307,"2,999"
62,Vedant Fashions Ltd.,Men,Kurta Pajama,Basic Cream Kurta Set,  CPOSK297-303,"2,999"
63,Vedant Fashions Ltd.,Men,Kurta Pajama,Black Self Embroidered Kurta Pajama,  SDES784-310,"3,999"
64,Vedant Fashions Ltd.,Men,Kurta Pajama,Salt White Solid Kurta Set,  M301114-302,"1,999"
65,Vedant Fashions Ltd.,Men,Kurta Pajama,Amber Yellow Self Design Kurta Set,  S952704-328,"4,999"
66,Vedant Fashions Ltd.,Men,Kurta Pajama,Feroze Self Design Kurta Set,  S952783-326,"2,999"
67,Vedant Fashions Ltd.,Men,Kurta Pajama,Pastel Pink Kurta With Embroidery Work,  SDES438-319,"3,999"
68,Vedant Fashions Ltd.,Men,Kurta Pajama,Beige Jacquard Kurta Set,  CPOSK273-303,"4,999"
69,Vedant Fashions Ltd.,Men,Kurta Pajama,Pomegranate Red Jacquard Patterned Kurta Set,  SDES515-307,"3,999"
70,Vedant Fashions Ltd.,Men,Kurta Pajama,Indigo Blue Self Chequered Kurta,  M301110-306,"1,999"
71,Vedant Fashions Ltd.,Men,Kurta Pajama,Wine Self Design Kurta With Black Churidar,  S952612-322,"3,999"
72,Vedant Fashions Ltd.,Men,Kurta Pajama,Pearl White Solid Kurta Set,  M306041-101,"2,499"
73,Vedant Fashions Ltd.,Men,Kurta Pajama,Classic Black Kurta,  S952780-310,"2,999"
