Sno,Wear_type,Material_type,Reviews,color1,color2
0,Kurta Pajama,--------,674 people have viewed the product recently,--------,--------
1,Kurta Pajama,--------,674 people have viewed the product recently,--------,
2,Kurta Pajama,,674 people have viewed the product recently,,
3,Kurta Pajama,,--------,,
4,Kurta Pajama,,674 people have viewed the product recently,,--------
5,Kurta Pajama,,--------,,--------
6,Kurta Pajama,--------,--------,--------,
7,Kurta Pajama,--------,--------,--------,
8,Kurta Pajama,--------,674 people have viewed the product recently,--------,
9,Kurta Pajama,--------,674 people have viewed the product recently,--------,
10,Kurta Pajama,,674 people have viewed the product recently,,
11,Kurta Pajama,--------,674 people have viewed the product recently,--------,
12,Kurta Pajama,--------,674 people have viewed the product recently,--------,
13,Kurta Pajama,,674 people have viewed the product recently,,--------
14,Kurta Pajama,--------,674 people have viewed the product recently,--------,
15,Kurta Pajama,--------,674 people have viewed the product recently,--------,
16,Kurta Pajama,,674 people have viewed the product recently,,--------
17,Kurta Pajama,--------,674 people have viewed the product recently,--------,
18,Kurta Pajama,,674 people have viewed the product recently,,
19,Kurta Pajama,,--------,,
20,Kurta Pajama,,672 people have viewed the product recently,,
21,Kurta Pajama,--------,--------,--------,--------
22,Kurta Pajama,,674 people have viewed the product recently,,
23,Kurta Pajama,,674 people have viewed the product recently,,
24,Kurta Pajama,,674 people have viewed the product recently,,
25,Kurta Pajama,,674 people have viewed the product recently,,--------
26,Kurta Pajama,,674 people have viewed the product recently,,--------
27,Kurta Pajama,,674 people have viewed the product recently,,--------
28,Kurta Pajama,,674 people have viewed the product recently,,--------
29,Kurta Pajama,--------,674 people have viewed the product recently,--------,
30,Kurta Pajama,--------,674 people have viewed the product recently,--------,
31,Kurta Pajama,--------,674 people have viewed the product recently,--------,
32,Kurta Pajama,,--------,,
33,Kurta Pajama,,674 people have viewed the product recently,,--------
34,Kurta Pajama,,674 people have viewed the product recently,,
35,Kurta Pajama,--------,--------,--------,
36,Kurta Pajama,--------,--------,--------,
37,Kurta Pajama,,461 people have viewed the product recently,,
38,Kurta Pajama,,674 people have viewed the product recently,,
39,Kurta Pajama,,672 people have viewed the product recently,,--------
40,Kurta Pajama,--------,--------,--------,
41,Kurta Pajama,--------,672 people have viewed the product recently,--------,
42,Kurta Pajama,,461 people have viewed the product recently,,
43,Kurta Pajama,--------,437 people have viewed the product recently,--------,--------
44,Kurta Pajama,--------,461 people have viewed the product recently,--------,--------
45,Kurta Pajama,,674 people have viewed the product recently,,--------
46,Kurta Pajama,--------,674 people have viewed the product recently,--------,
47,Kurta Pajama,--------,--------,--------,--------
48,Kurta Pajama,,278 people have viewed the product recently,,
49,Kurta Pajama,--------,--------,--------,--------
50,Kurta Pajama,--------,437 people have viewed the product recently,--------,--------
51,Kurta Pajama,--------,--------,--------,
52,Kurta Pajama,,437 people have viewed the product recently,,--------
53,Kurta Pajama,,278 people have viewed the product recently,,
54,Kurta Pajama,,674 people have viewed the product recently,,
55,Kurta Pajama,,672 people have viewed the product recently,,
56,Kurta Pajama,,437 people have viewed the product recently,,
57,Kurta Pajama,,437 people have viewed the product recently,,
58,Kurta Pajama,,124 people have viewed the product recently,,
59,Kurta Pajama,,437 people have viewed the product recently,,--------
60,Kurta Pajama,,278 people have viewed the product recently,,
61,Kurta Pajama,--------,674 people have viewed the product recently,--------,
62,Kurta Pajama,--------,674 people have viewed the product recently,--------,--------
63,Kurta Pajama,--------,674 people have viewed the product recently,--------,
64,Kurta Pajama,--------,674 people have viewed the product recently,--------,--------
65,Kurta Pajama,,--------,,--------
66,Kurta Pajama,--------,674 people have viewed the product recently,--------,--------
67,Kurta Pajama,--------,674 people have viewed the product recently,--------,
68,Kurta Pajama,--------,--------,--------,--------
