Sno,Country_of_origin,Return_time,Size1,Size2,Size3,Size4,Occassion
0,India,15.0,S,M,L,XL,Indo Western
1,India,15.0,S,M,L,XL,Indo Western
2,India,15.0,S,M,L,XL,Indo Western
3,--------,,S,M,L,XL,Indo Western
4,India,15.0,S,M,L,XL,Indo Western
5,--------,,S,M,L,XL,Indo Western
6,--------,,S,M,L,XL,Indo Western
7,--------,,S,M,L,XL,Indo Western
8,India,15.0,S,M,L,XL,Indo Western
9,India,15.0,S,M,L,XL,Indo Western
10,India,15.0,S,M,L,XL,Indo Western
11,India,15.0,S,M,L,XL,Indo Western
12,India,15.0,S,M,L,XL,Indo Western
13,India,15.0,S,M,L,XL,Indo Western
14,India,15.0,S,M,L,XL,Indo Western
15,India,15.0,S,M,L,XL,Indo Western
16,India,15.0,S,M,L,XL,Indo Western
17,India,15.0,S,M,L,XL,Indo Western
18,India,15.0,S,M,L,XL,Indo Western
19,--------,,S,M,L,XL,Indo Western
20,India,15.0,S,M,L,XL,Indo Western
21,--------,,S,M,L,XL,Indo Western
22,India,15.0,S,M,L,XL,Indo Western
23,India,15.0,S,M,L,XL,Indo Western
24,India,15.0,S,M,L,XL,Indo Western
25,India,15.0,S,M,L,XL,Indo Western
26,India,15.0,S,M,L,XL,Indo Western
27,India,15.0,S,M,L,XL,Indo Western
28,India,15.0,S,M,L,XL,Indo Western
29,India,15.0,S,M,L,XL,Indo Western
30,India,15.0,S,M,L,XL,Indo Western
31,India,15.0,S,M,L,XL,Indo Western
32,--------,,S,M,L,XL,Indo Western
33,India,15.0,S,M,L,XL,Indo Western
34,India,15.0,S,M,L,XL,Indo Western
35,--------,,S,M,L,XL,Indo Western
36,--------,,S,M,L,XL,Indo Western
37,India,15.0,S,M,L,XL,Indo Western
38,India,15.0,S,M,L,XL,Indo Western
39,India,15.0,S,M,L,XL,Indo Western
40,--------,,S,M,L,XL,Indo Western
41,India,15.0,S,M,L,XL,Indo Western
42,India,15.0,S,M,L,XL,Indo Western
43,India,15.0,S,M,L,XL,Indo Western
44,India,15.0,S,M,L,XL,Indo Western
45,India,15.0,S,M,L,XL,Indo Western
46,India,15.0,S,M,L,XL,Indo Western
